Num postal caption,Número de vehicles implicats,Nom barri,Coordenada UTM (Y),Número de lesionats greus,Número de lesionats lleus,Nom districte,Descripció tipus dia,NK barri,NK Any,Nom mes,Descripció torn,Nom carrer,Número de morts,Codi carrer,Número d'expedient,Descripció dia setmana,Número de víctimes,Coordenada UTM (X),Mes de any,Dia de setmana,Codi districte,Dia de mes,_id,Hora de dia,Descripció causa vianant
020750000,2,Provençals del Poblenou,"4585044,97",0,0,Sant Martí,Laboral,103-10-71,2011,Agost,Tarda,C-31,0,701414,2011S005524,Dimarts,0,"433272,71",8,2,10,16,36,17,Desconegut
0042 0042,2,Provençals del Poblenou,"4585416,41",0,1,Sant Martí,Laboral,103-10-71,2011,Setembre,Nit,Paraguai,0,244800,2011S006127,Divendres,1,"433856,63",9,5,10,16,37,5,Desconegut
020710000,2,Provençals del Poblenou,"4584767,14",0,1,Sant Martí,Laboral,103-10-71,2011,Desembre,Matí,C-31,0,701414,2011S008303,Dissabte,1,"432988,19",12,6,10,10,38,12,Desconegut
020640000,2,Provençals del Poblenou,"4584277,37",0,1,Sant Martí,Laboral,103-10-71,2011,Octubre,Matí,C-31,0,701414,2011S007279,Divendres,1,"432482,54",10,5,10,28,39,9,Desconegut
0030 0038,2,Provençals del Poblenou,"4584158,15",0,0,Sant Martí,Laboral,103-10-71,2011,Octubre,Tarda,Castella,0,73707,2011S006994,Dilluns,0,"432882,37",10,1,10,17,40,15,Desconegut
0161X0161X,3,Provençals del Poblenou,"4584348,26",0,1,Sant Martí,Laboral,103-10-71,2011,Octubre,Tarda,Espronceda,0,115603,2011S007093,Dijous,1,"433231,95",10,4,10,20,41,20,Desconegut
0288X0288X,1,Provençals del Poblenou,"4584228,35",0,1,Sant Martí,Laboral,103-10-71,2011,Abril,Tarda,Pere IV,0,249304,2011S002574,Dimecres,1,"433215,45",4,3,10,13,42,19,Desobeir el senyal del semŕfor
0072U0072U,2,Diagonal Mar i el Front Marítim del Poblenou,"4584171,23",0,1,Sant Martí,Laboral,104-10-69,2011,Juliol,Matí,Bac de Roda,0,30409,2011S005172,Divendres,1,"433614,91",7,5,10,29,43,13,Desconegut
0098X0098X,2,Diagonal Mar i el Front Marítim del Poblenou,"4584310,62",0,1,Sant Martí,Laboral,104-10-69,2011,Abril,Tarda,Bac de Roda,0,30409,2011S002530,Dimarts,1,"433477,86",4,2,10,12,44,18,Desconegut
0113 0113,1,el Poblenou,"4583820,41",0,0,Sant Martí,Laboral,104-10-68,2011,Abril,Matí,Poblenou,0,346800,2011S002484,Dilluns,0,"432992,83",4,1,10,11,45,11,Desconegut
0137 0137,2,el Poblenou,"4584141,97",0,1,Sant Martí,Laboral,104-10-68,2011,Febrer,Tarda,Diagonal,0,144601,2011S001225,Dilluns,1,"433033,58",2,1,10,21,46,18,Desconegut
0025 0025,1,el Parc i la Llacuna del Poblenou,"4582469,42",0,2,Sant Martí,Laboral,105-10-66,2011,Agost,Tarda,Pujades,0,271100,2011S005725,Dimarts,2,"431917,45",8,2,10,30,47,20,Desconegut
0114 0116,2,el Parc i la Llacuna del Poblenou,"4582910,42",0,1,Sant Martí,Laboral,105-10-66,2011,Març,Tarda,Marina,0,197302,2011S002108,Dilluns,1,"432063,23",3,1,10,28,48,14,Desconegut
0001X0001X,2,Diagonal Mar i el Front Marítim del Poblenou,"4583663,86",0,2,Sant Martí,Laboral,104-10-69,2011,Juliol,Nit,Bac de Roda,0,30409,2011S004895,Diumenge,2,"434068,68",7,7,10,17,49,3,Desconegut
0002 0020,2,Diagonal Mar i el Front Marítim del Poblenou,"4584271,90",0,1,Sant Martí,Laboral,104-10-69,2011,Agost,Tarda,Josep Pla,0,143609,2011S005523,Dimarts,1,"434642,40",8,2,10,16,50,19,Desconegut
